,Open,High,Low,Close,Volume
2024-08-26,527.6000,528.0000,514.9500,521.1200,9584002
2024-08-27,518.9800,524.0100,515.3100,519.1000,6282720
2024-08-28,517.6750,521.0850,512.4500,516.7800,9106077
2024-08-29,519.0500,527.2000,515.6789,518.2200,8317424
2024-08-30,521.3500,523.5400,515.2000,521.3100,9157541
2024-09-03,519.6400,525.4900,508.6176,511.7600,12459113
2024-09-04,506.0700,516.5900,504.0700,512.7400,8255543
2024-09-05,511.7200,521.6295,511.1500,516.8600,8640888
2024-09-06,521.8800,524.5849,498.2500,500.2700,14744521
2024-09-09,506.1600,511.3300,502.0800,504.7900,11047828
2024-09-10,508.1600,514.1800,500.0278,504.7900,9899022
2024-09-11,507.0100,513.1200,495.6000,511.8300,10782532
2024-09-12,517.0500,526.7100,515.2200,525.6000,11993342
2024-09-13,520.3400,527.5810,517.1100,524.6200,10321422
2024-09-16,524.5400,534.1000,517.4000,533.2800,9527646
2024-09-17,537.6000,542.1000,530.5700,536.3150,11690779
2024-09-18,537.0650,544.2000,533.9026,537.9500,10323537
2024-09-19,550.0000,562.0700,546.5200,559.1000,15646951
2024-09-20,560.0000,564.5000,556.3001,561.3500,22066817
2024-09-23,569.5000,573.9799,562.4100,564.4100,12830669
2024-09-24,566.6800,567.7450,554.1900,563.3300,12992956
2024-09-25,564.0500,576.8800,563.7200,568.3100,16543350
2024-09-26,575.7300,577.4000,562.3501,567.8400,14400787
2024-09-27,570.1000,570.8399,564.5100,567.3600,9398367
2024-09-30,567.7000,574.6800,564.8000,572.4400,12807206
2024-10-01,577.9800,583.0400,570.1000,576.4700,15259274
2024-10-02,574.8600,576.0000,569.3400,572.8100,6524650
2024-10-03,570.1500,583.3600,568.7300,582.7700,11580980
2024-10-04,583.7300,596.8500,581.4300,595.9400,14199788
2024-10-07,598.2200,602.9500,584.0400,584.7800,12014198
2024-10-08,589.6900,593.5600,585.9700,592.8900,7857377
2024-10-09,593.9900,594.3900,581.6100,590.5100,9529707
2024-10-10,587.5700,590.2300,582.5200,583.8300,7740449
2024-10-11,584.8300,591.2100,582.7100,589.9500,8587051
2024-10-14,594.2200,600.1000,589.9600,590.4200,8251971
2024-10-15,590.1600,590.6100,580.1430,586.2700,9564236
2024-10-16,581.3950,582.0800,574.0300,576.7900,11268384
2024-10-17,583.3300,584.9700,575.2000,576.9300,8701158
2024-10-18,581.1000,583.9675,575.2500,576.4700,7694274
2024-10-21,576.0300,577.2399,569.1100,575.1600,8171879
2024-10-22,574.2900,583.5300,572.1200,582.0100,8544463
2024-10-23,579.9700,585.0000,562.5000,563.6900,14248419
2024-10-24,567.1250,568.8799,561.5200,567.7800,7184651
2024-10-25,573.9350,581.2900,571.7200,573.2500,11337874
2024-10-28,582.0000,583.7499,574.1200,578.1600,10925131
2024-10-29,580.1450,593.6700,575.3980,593.2800,13019092
2024-10-30,600.9800,601.2000,589.3800,591.8000,26864925
2024-10-31,585.0000,589.9000,563.0100,567.5800,26838395
2024-11-01,567.6050,573.6700,562.5600,567.1600,15303235
2024-11-04,564.1000,568.6900,557.8900,560.6800,12064601
2024-11-05,567.3050,573.4800,566.6700,572.4300,9775379
2024-11-06,562.7500,573.0000,555.1679,572.0500,18305429
2024-11-07,576.8900,594.7999,575.2100,591.7000,14653708
2024-11-08,591.5400,593.1000,584.5200,589.3400,9415699
2024-11-11,586.3600,587.0000,576.5100,583.1700,10209051
2024-11-12,588.5450,599.6600,580.3800,584.8200,16287724
2024-11-13,582.6050,585.6400,575.1700,580.0000,10757583
2024-11-14,577.0000,580.7600,573.0100,577.1600,11053743
2024-11-15,571.2200,572.5700,551.5000,554.0800,17712864
2024-11-18,557.0400,559.9000,550.0900,554.4000,14346715
2024-11-19,551.8600,561.4300,550.6000,561.0900,9522445
2024-11-20,562.9300,566.3499,554.2001,565.5200,9797339
2024-11-21,569.5200,570.0000,549.0500,563.0900,11154749
2024-11-22,563.5500,563.8273,554.5900,559.1400,9164004
2024-11-25,562.1000,572.5915,556.3900,565.1100,13599830
2024-11-26,566.0000,577.5000,565.2000,573.5400,10356550
2024-11-27,574.8900,574.9800,564.1001,569.2000,7200228
2024-11-29,569.0000,578.4600,566.9000,574.3200,7130519
2024-12-02,577.5000,594.5000,575.5700,592.8300,12522371
2024-12-03,595.0000,614.2000,591.2501,613.6500,14907164
2024-12-04,612.9600,617.7800,605.1000,613.7800,14697006
2024-12-05,617.0750,619.9000,607.0500,608.9300,8081212
2024-12-06,610.1000,629.7899,608.5300,623.7700,16935503
2024-12-09,623.9250,626.4000,606.1701,613.5700,11426015
2024-12-10,617.5600,625.5900,612.7400,619.3200,10938854
2024-12-11,623.3700,638.4000,621.5349,632.6800,10837228
2024-12-12,631.5000,636.6599,627.2094,630.7900,7474717
2024-12-13,627.2200,631.0800,616.8860,620.3500,8453349
2024-12-16,629.9750,631.1500,618.5800,624.2400,10885625
2024-12-17,626.1700,632.3700,616.5400,619.4400,12897842
2024-12-18,621.0000,627.3600,596.3200,597.1900,17075480
2024-12-19,610.3900,611.5200,595.0000,595.5700,14958082
2024-12-20,590.5800,603.1100,580.0000,585.2500,48989390
2024-12-23,589.6000,601.0900,586.2500,599.8500,10205750
2024-12-24,602.7150,607.9900,599.2849,607.7500,4726056
2024-12-26,605.4800,606.3000,598.9400,603.3500,6091239
2024-12-27,599.4100,601.8500,589.8000,599.8100,8084229
2024-12-30,588.7500,596.9399,585.5800,591.2400,7025864
2024-12-31,592.2650,593.9700,583.8500,585.5100,6019520
2025-01-02,589.7200,604.9100,587.8200,599.2400,12682269
2025-01-03,604.7600,609.5000,596.4136,604.6300,11436784
2025-01-06,611.8250,630.9900,605.6200,630.2000,14560754
2025-01-07,631.7000,632.1011,608.2300,617.8900,12071479
2025-01-08,613.3950,616.4397,602.7900,610.7200,10085846
2025-01-10,610.0300,629.9100,597.3400,615.8600,19256564
2025-01-13,607.1000,608.9700,598.4450,608.3300,10785031
2025-01-14,605.0650,605.4900,588.5500,594.2500,13597992
2025-01-15,610.2100,622.4600,606.5000,617.1200,15524302
2025-01-16,611.5000,616.2500,609.7100,611.3000,8355349
2025-01-17,624.0500,624.9700,603.6700,612.7700,17280600
