,Open,High,Low,Close,Volume
2024-08-26,416.3650,417.2799,411.3400,413.4900,13152830
2024-08-27,412.8600,414.3600,410.2500,413.8400,13492911
2024-08-28,414.8800,415.0000,407.3100,410.6000,14882660
2024-08-29,414.9400,422.0500,410.6000,413.1200,17045241
2024-08-30,415.6000,417.4900,412.1300,417.1400,24308324
2024-09-03,417.9100,419.8800,407.0300,409.4400,20313603
2024-09-04,405.9100,411.2400,404.3700,408.9000,14886710
2024-09-05,407.6200,413.1000,406.1300,408.3900,14195516
2024-09-06,409.0600,410.6500,400.8000,401.7000,19609526
2024-09-09,407.2400,408.6500,402.1500,405.7200,15295134
2024-09-10,408.2000,416.3300,407.7000,414.2000,19594287
2024-09-11,415.5000,423.9900,409.5800,423.0400,19266923
2024-09-12,423.3100,427.3692,419.7500,427.0000,17418759
2024-09-13,425.8250,431.8300,425.4600,430.5900,15874555
2024-09-16,430.6000,433.5300,428.2200,431.3400,13834697
2024-09-17,440.2300,441.8500,432.2700,435.1500,18874231
2024-09-18,435.0000,436.0300,430.4100,430.8100,18898042
2024-09-19,441.2250,441.5000,436.9000,438.6900,21706559
2024-09-20,437.2200,439.2400,434.2200,435.2700,55167106
2024-09-23,434.2800,436.4600,430.3889,433.5100,15128891
2024-09-24,433.0000,433.3500,426.1000,429.1700,17015754
2024-09-25,429.8300,433.1190,428.5700,432.1100,13396364
2024-09-26,435.0850,435.3000,429.1300,431.3100,14492044
2024-09-27,431.5200,431.8500,427.4700,428.0200,14896131
2024-09-30,428.2100,430.4200,425.3700,430.3000,16854606
2024-10-01,428.4500,428.4800,418.8100,420.6900,19092945
2024-10-02,422.5800,422.8200,416.7100,417.1300,16582257
2024-10-03,417.6300,419.5500,414.2900,416.5400,13686421
2024-10-04,418.2400,419.7500,414.9700,416.0600,19190913
2024-10-07,416.0000,417.1100,409.0000,409.5400,20919761
2024-10-08,410.9000,415.6600,408.1700,414.7100,19229261
2024-10-09,415.8600,420.3800,414.3000,417.4600,14974257
2024-10-10,415.2250,417.3500,413.1500,415.8400,13848376
2024-10-11,416.1350,417.1300,413.2500,416.3200,14144944
2024-10-14,417.7700,424.0400,417.5200,419.1400,16653086
2024-10-15,422.1800,422.4800,415.2600,418.7400,18900201
2024-10-16,415.1700,416.3600,410.4800,416.1200,15508932
2024-10-17,422.3600,422.5000,415.5900,416.7200,14820004
2024-10-18,417.1400,419.6500,416.2601,418.1600,17145317
2024-10-21,416.1200,418.9600,413.7501,418.7800,14206115
2024-10-22,418.4900,430.5793,418.0400,427.5100,25482197
2024-10-23,430.8550,431.0800,422.5300,424.6000,19654379
2024-10-24,425.3250,425.9782,422.4000,424.7300,13581631
2024-10-25,426.7600,432.5200,426.5650,428.1500,16899064
2024-10-28,431.6550,431.9400,426.3000,426.5900,14882444
2024-10-29,428.0000,433.1700,425.8001,431.9500,17644080
2024-10-30,437.4350,438.5000,432.1000,432.5300,29749149
2024-10-31,415.3600,416.1600,406.3000,406.3500,53970981
2024-11-01,409.0100,415.5000,407.5000,410.3700,24230442
2024-11-04,409.8000,410.4150,405.5713,408.4600,19672286
2024-11-05,408.3700,414.9000,408.0800,411.4600,17626011
2024-11-06,412.4200,420.4500,410.5200,420.1800,26681842
2024-11-07,421.2800,426.8500,419.8800,425.4300,19901782
2024-11-08,425.3200,426.5000,421.7800,422.5400,16891414
2024-11-11,422.5150,424.8100,416.0000,418.0100,24503321
2024-11-12,418.2500,424.4400,417.2000,423.0300,19401204
2024-11-13,421.6400,429.3250,418.2100,425.2000,21502185
2024-11-14,425.0000,428.1700,420.0000,426.8900,30246881
2024-11-15,419.8200,422.8000,413.6400,415.0000,28247644
2024-11-18,414.8700,418.4037,412.1000,415.7600,24742013
2024-11-19,413.1100,417.9400,411.5500,417.7900,18133529
2024-11-20,416.8700,417.2900,410.5800,415.4900,19191655
2024-11-21,419.5000,419.7800,410.2887,412.8700,20780162
2024-11-22,411.3650,417.4000,411.0600,417.0000,24814626
2024-11-25,418.3800,421.0800,414.8500,418.7900,27691090
2024-11-26,419.5850,429.0414,418.8500,427.9900,23458889
2024-11-27,425.1050,427.2299,422.0200,422.9900,18332444
2024-11-29,420.0900,424.8800,417.8000,423.4600,16271921
2024-12-02,421.5700,433.0000,421.3100,430.9800,20207223
2024-12-03,429.8400,432.4700,427.7400,431.2000,18301987
2024-12-04,433.0300,439.6700,432.6300,437.4200,26009429
2024-12-05,437.9200,444.6600,436.1710,442.6200,21697775
2024-12-06,442.3000,446.1000,441.7703,443.5700,18821002
2024-12-09,442.6000,448.3300,440.5000,446.0200,19144388
2024-12-10,444.3900,449.6200,441.6000,443.3300,18469459
2024-12-11,444.0500,450.3500,444.0500,448.9900,19200208
2024-12-12,449.1100,456.1648,449.1100,449.5600,20834779
2024-12-13,448.4350,451.4300,445.5800,447.2700,20177833
2024-12-16,447.2700,452.1800,445.2800,451.5900,23598834
2024-12-17,451.0100,455.2900,449.5700,454.4600,22733494
2024-12-18,451.3200,452.6500,437.0200,437.3900,24444545
2024-12-19,441.6200,443.1834,436.3200,437.0300,22963681
2024-12-20,433.1100,443.7400,428.6300,436.6000,64263694
2024-12-23,436.7400,437.6500,432.8300,435.2500,19152519
2024-12-24,434.6500,439.6000,434.1900,439.3300,7164543
2024-12-26,439.0800,440.9400,436.6300,438.1100,8199927
2024-12-27,434.6000,435.2200,426.3500,430.5300,18117713
2024-12-30,426.0600,427.5500,421.9000,424.8300,13158703
2024-12-31,426.1000,426.7300,420.6600,421.5000,13246509
2025-01-02,425.5300,426.0700,414.8500,418.5800,16896469
2025-01-03,421.0800,424.0300,419.5400,423.3500,16662943
2025-01-06,428.0000,434.3200,425.4774,427.8500,20573648
2025-01-07,429.0000,430.6500,420.8000,422.3700,18139065
2025-01-08,423.4600,426.9700,421.5400,424.5600,15054575
2025-01-10,424.6300,424.7100,415.0200,418.9500,20201132
2025-01-13,415.2350,418.5000,412.2900,417.1900,17604780
2025-01-14,417.8100,419.7400,410.7200,415.6700,16935856
2025-01-15,419.1300,428.1500,418.2650,426.3100,19637838
2025-01-16,428.6950,429.4900,424.3900,424.5800,15300023
2025-01-17,434.0850,434.4800,428.1700,429.0300,26197507
